INFO 2025-12-26 17:46:52,922 ua_client Request to close socket received
WARNING 2025-12-26 17:46:52,924 opcua_client ⚠️ Bombo bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:52,926 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:52,927 opcua_client [36m🔐 Using Anonymous Authentication for Bombo bh1[0m
INFO 2025-12-26 17:46:52,928 ua_client opening connection
INFO 2025-12-26 17:46:54,465 signals 🔄 Server list changed. Restarting OPC UA clients...
WARNING 2025-12-26 17:46:54,467 opcua_client ⚠️ OPC UA client check already running. Skipping duplicate execution.
INFO 2025-12-26 17:46:54,469 opcua_client [36m🔄 Lutete Bore hole status updated to faulty[0m
ERROR 2025-12-26 17:46:54,474 opcua_client [31m Connection failed: [Errno 22] Invalid argument[0m
WARNING 2025-12-26 17:46:54,479 opcua_client [33m🔄 Retrying connection to Lutete Bore hole...[0m
INFO 2025-12-26 17:46:55,097 ua_client close_session
INFO 2025-12-26 17:46:55,099 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:55,101 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:55,103 ua_client Request to close socket received
WARNING 2025-12-26 17:46:55,105 opcua_client ⚠️ testing: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:55,108 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:55,110 opcua_client [36m🔐 Using Anonymous Authentication for testing[0m
INFO 2025-12-26 17:46:55,112 ua_client opening connection
INFO 2025-12-26 17:46:59,166 ua_client close_session
INFO 2025-12-26 17:46:59,169 ua_client close_secure_channel
DEBUG 2025-12-26 17:46:59,171 ua_client Sending: CloseSecureChannelRequest(TypeId:{self.TypeId}, RequestHeader:{self.RequestHeader})
INFO 2025-12-26 17:46:59,173 ua_client Request to close socket received
WARNING 2025-12-26 17:46:59,176 opcua_client ⚠️ mityana bh1: Failed to disconnect stale client: 'NoneType' object has no attribute 'socket'
INFO 2025-12-26 17:46:59,178 auth_ua [32m✅ Using Anonymous Authentication[0m
INFO 2025-12-26 17:46:59,179 opcua_client [36m🔐 Using Anonymous Authentication for mityana bh1[0m
